Group,GainMax,CF,Q10dB,SensLow,SensHigh
WT,33.0393233872632,7500,2.45902745628171,74.2755647344952,52.77419184476
WT,41.9899408270431,8500,2.83205936779166,79.1519265382104,45.1680483663068
WT,48.881645655306,9000,3.48644822452396,81.9627569170402,42.7448219039917
WT,31.9350992186456,8000,2.27847710726321,71.5001592983906,44.2105696708888
WT,33.5788120942569,8000,1.35344348133762,71.8137873776783,55.2259997228219
WT,41.163262810524,8000,2.65837249848361,82.4230199402219,37.4302914121991
WT,39.4170316675637,9000,2.53637036216619,74.6967504613079,43.2314500557474
WT,47.4333657795625,8500,3.04748638557513,75.6453141687169,43.077820905748
WT,40.647782432325,8500,2.46262637505798,75.7463216068267,42.0829423164899
Alpha9KO,32.3423045436721,7500,1.89314131387238,73.6927872225666,56.056162493617
Alpha9KO,43.4808302455444,8000,2.95358202152952,80.6345413856191,40.7866288102979
Alpha9KO,36.3904482131176,8500,2.2404012631789,73.8918402259483,37.2285533068199
Alpha9KO,50.7279820256813,10000,3.22358872762831,76.0765215610421,35.3846478687899
Alpha9KO,58.8035446684964,10500,2.5991986790553,72.6734499403547,41.2784060849498
Alpha9KO,37.787052889663,9500,3.2311651143307,65.6928249071947,37.0220558757407
Alpha9KO,40.9984429266912,9500,2.77219372611022,67.5514155189369,40.4032602686828
Alpha9KO,45.3314064974905,8000,3.09453329009803,81.7536181618405,46.188586771207
Alpha9KO,53.2397690020257,9500,3.13446979821742,80.4872021160987,43.1906375395456
VGLUT3KO,55.8712056269321,9000,2.43528544838233,84.7793557284923,40.7978311603558
VGLUT3KO,51.7827965785538,9000,3.29453747169844,85.9993653242688,38.1547496437412
VGLUT3KO,66.0225870980136,9000,3.42888636877143,94.8755785587035,54.4667167475595
VGLUT3KO,62.6602809794703,8500,3.89924995459634,94.705646508171,49.8141409063119
VGLUT3KO,48.4990507849951,10000,3.14258978062389,78.799499912641,41.2704678593363
VGLUT3KO,46.5989438922174,8500,2.47585911962693,82.6262803600791,43.4193829513406
VGLUT3KO,51.9427259149445,8000,3.13520193471709,86.1662149741246,43.3086231343771
VGLUT3KO,45.3129405189675,8000,3.17993533736586,79.4501136715598,48.7934991068259
VGLUT3KOAlpha9KO,38.4179636094596,8000,2.68075093195974,74.392571177549,37.4944931352985
VGLUT3KOAlpha9KO,36.5081794930105,8000,1.78452643826955,73.9893355738446,51.7763921837952
VGLUT3KOAlpha9KO,55.6552984890755,9000,3.3012158328243,88.491428625618,45.6319605906061
VGLUT3KOAlpha9KO,28.7228614240239,7500,2.27205576363711,63.2010830662916,42.3935599664288
VGLUT3KOAlpha9KO,30.2543885386978,8500,1.95442500462256,65.3696778230153,43.3399312285998
VGLUT3KOAlpha9KO,48.1190064954945,8500,3.84160992809823,81.5579077762423,44.2471285993544
VGLUT3KOAlpha9KO,52.2612736928552,10500,3.80176796284996,67.9860626668725,35.8851085270429
VGLUT3KOAlpha9KO,50.8598153360356,9000,3.04171796518048,74.5192257437137,39.8180757091591
VGLUT3KOAlpha9KO,47.3482750716021,9000,2.67754276930623,78.0895848156082,49.6265777745018
