experiment,genotype,level,q,bf
22,VGLUT3KO,30,3.04690302423308,8000
22,VGLUT3KO,40,2.04845246896278,7500
22,VGLUT3KO,50,1.62928330787779,7500
22,VGLUT3KO,60,1.33574413411698,6500
22,VGLUT3KO,70,1.20476153524339,5500
22,VGLUT3KO,80,1.41005838776289,5500
22,VGLUT3KO,90,1.38850551188786,5000
23,VGLUT3KO,-10,NaN,9500
23,VGLUT3KO,0,NaN,4000
23,VGLUT3KO,10,3.14258978062389,10000
23,VGLUT3KO,20,3.23705063047517,10000
23,VGLUT3KO,30,3.22003371150551,9500
23,VGLUT3KO,40,2.42155782505076,9500
23,VGLUT3KO,50,1.81074352893845,8500
23,VGLUT3KO,60,1.52509911407657,8500
23,VGLUT3KO,70,1.33750701572916,8000
23,VGLUT3KO,80,1.1955637258242,6500
23,VGLUT3KO,90,1.28807858566695,6000
24,VGLUT3KO,-10,NaN,NaN
24,VGLUT3KO,0,2.47585911962693,8500
24,VGLUT3KO,10,2.57567546634764,8500
24,VGLUT3KO,20,2.81551612913506,8500
24,VGLUT3KO,30,3.02041209733474,8500
24,VGLUT3KO,40,2.22150746043365,8000
24,VGLUT3KO,50,1.96729468886913,8000
24,VGLUT3KO,60,1.52465992128561,7000
24,VGLUT3KO,70,1.50831392711382,6500
24,VGLUT3KO,80,1.42786252129157,6000
24,VGLUT3KO,90,1.46865998264196,6000
25,VGLUT3KO,-10,NaN,8000
25,VGLUT3KO,0,3.13520193471709,8500
25,VGLUT3KO,10,3.03183907796774,8500
25,VGLUT3KO,20,3.1109440813151,9000
25,VGLUT3KO,30,2.84327358498983,8500
25,VGLUT3KO,40,2.3162911765301,7500
25,VGLUT3KO,50,1.81774139146484,7000
25,VGLUT3KO,60,1.64400882818439,7000
25,VGLUT3KO,70,1.40964828583364,7000
25,VGLUT3KO,80,1.270010587921,6000
25,VGLUT3KO,90,1.13079912991284,5000
26,VGLUT3KO,-10,NaN,NaN
26,VGLUT3KO,0,3.17993533736586,8000
26,VGLUT3KO,10,2.2783497118901,8500
26,VGLUT3KO,20,2.23753774964246,8000
26,VGLUT3KO,30,2.04708255185667,8000
26,VGLUT3KO,40,1.79145679405132,7500
26,VGLUT3KO,50,1.51865373131551,7000
26,VGLUT3KO,60,1.38660489372581,6500
26,VGLUT3KO,70,1.28596110653235,6000
26,VGLUT3KO,80,1.19839213233173,5000
26,VGLUT3KO,90,1.29801708489798,5000
27,VGLUT3KOAlpha9KO,-10,NaN,NaN
27,VGLUT3KOAlpha9KO,0,NaN,8000
27,VGLUT3KOAlpha9KO,10,2.68075093195974,8000
27,VGLUT3KOAlpha9KO,20,2.27491535730565,8000
27,VGLUT3KOAlpha9KO,30,2.51077758355599,8000
27,VGLUT3KOAlpha9KO,40,2.50156941553571,8000
27,VGLUT3KOAlpha9KO,50,2.24359742357286,7500
27,VGLUT3KOAlpha9KO,60,1.72072221664169,7000
27,VGLUT3KOAlpha9KO,70,1.47649288661343,6500
27,VGLUT3KOAlpha9KO,80,1.25312511031669,6000
27,VGLUT3KOAlpha9KO,90,1.17150880663218,5500
28,VGLUT3KOAlpha9KO,-10,NaN,NaN
28,VGLUT3KOAlpha9KO,0,NaN,8000
28,VGLUT3KOAlpha9KO,10,1.78452643826955,8000
28,VGLUT3KOAlpha9KO,20,1.84829776615705,8500
28,VGLUT3KOAlpha9KO,30,1.96087639369775,8500
28,VGLUT3KOAlpha9KO,40,1.57380999826723,8000
28,VGLUT3KOAlpha9KO,50,1.4533992489025,7500
28,VGLUT3KOAlpha9KO,60,1.41828180455026,7000
28,VGLUT3KOAlpha9KO,70,1.12970106230185,5500
28,VGLUT3KOAlpha9KO,80,1.24753833631682,5000
28,VGLUT3KOAlpha9KO,90,1.34428425115475,5000
29,VGLUT3KOAlpha9KO,-10,NaN,9000
29,VGLUT3KOAlpha9KO,0,3.3012158328243,9000
29,VGLUT3KOAlpha9KO,10,3.37131993101848,9000
29,VGLUT3KOAlpha9KO,20,3.27060304137244,9000
29,VGLUT3KOAlpha9KO,30,2.99255104397706,8500
29,VGLUT3KOAlpha9KO,40,2.57682955285158,8000
29,VGLUT3KOAlpha9KO,50,1.75456287255029,7500
29,VGLUT3KOAlpha9KO,60,1.50847698092155,7500
29,VGLUT3KOAlpha9KO,70,1.17734126219118,6000
29,VGLUT3KOAlpha9KO,80,1.13683188856681,5500
29,VGLUT3KOAlpha9KO,90,1.12754266639812,4500
30,VGLUT3KOAlpha9KO,-10,NaN,NaN
30,VGLUT3KOAlpha9KO,0,NaN,NaN
30,VGLUT3KOAlpha9KO,10,NaN,11000
30,VGLUT3KOAlpha9KO,20,NaN,7500
30,VGLUT3KOAlpha9KO,30,2.27205576363711,8000
30,VGLUT3KOAlpha9KO,40,2.02094137851699,7500
30,VGLUT3KOAlpha9KO,50,1.73433496967823,8000
30,VGLUT3KOAlpha9KO,60,1.42542521753865,7000
30,VGLUT3KOAlpha9KO,70,1.12641441683855,6000
30,VGLUT3KOAlpha9KO,80,1.00226119959967,5000
30,VGLUT3KOAlpha9KO,90,1.28906414108002,5000
31,VGLUT3KOAlpha9KO,-10,NaN,NaN
31,VGLUT3KOAlpha9KO,0,NaN,4000
31,VGLUT3KOAlpha9KO,10,NaN,8500
31,VGLUT3KOAlpha9KO,20,NaN,8500
31,VGLUT3KOAlpha9KO,30,1.95442500462256,8500
31,VGLUT3KOAlpha9KO,40,1.91618610324677,8500
31,VGLUT3KOAlpha9KO,50,1.72596321145306,8500
31,VGLUT3KOAlpha9KO,60,1.23769519266459,7000
31,VGLUT3KOAlpha9KO,70,1.00120415807127,5500
31,VGLUT3KOAlpha9KO,80,1.06704888455805,5500
31,VGLUT3KOAlpha9KO,90,1.23067194527944,5000
32,VGLUT3KOAlpha9KO,-10,NaN,NaN
32,VGLUT3KOAlpha9KO,0,3.84160992809823,8500
32,VGLUT3KOAlpha9KO,10,4.40735280246535,8500
32,VGLUT3KOAlpha9KO,20,3.90913307002317,8000
32,VGLUT3KOAlpha9KO,30,3.192966231128,8000
32,VGLUT3KOAlpha9KO,40,2.5091211423885,8000
32,VGLUT3KOAlpha9KO,50,1.76027350836624,7000
32,VGLUT3KOAlpha9KO,60,1.56977373139837,7000
32,VGLUT3KOAlpha9KO,70,1.32601025296383,6500
32,VGLUT3KOAlpha9KO,80,1.13527516946793,6000
32,VGLUT3KOAlpha9KO,90,1.11850370246482,5000
33,VGLUT3KOAlpha9KO,-10,NaN,NaN
33,VGLUT3KOAlpha9KO,0,3.80176796284996,10500
33,VGLUT3KOAlpha9KO,10,3.7003112637199,11000
33,VGLUT3KOAlpha9KO,20,3.27847406097951,10500
33,VGLUT3KOAlpha9KO,30,2.9163326117231,10000
33,VGLUT3KOAlpha9KO,40,2.69416421482139,10000
33,VGLUT3KOAlpha9KO,50,1.96010480453937,9500
33,VGLUT3KOAlpha9KO,60,1.60454361651331,8500
33,VGLUT3KOAlpha9KO,70,1.46128107755452,8000
33,VGLUT3KOAlpha9KO,80,1.14896743375765,6500
33,VGLUT3KOAlpha9KO,90,1.22072375599467,6000
34,VGLUT3KOAlpha9KO,-10,NaN,9000
34,VGLUT3KOAlpha9KO,0,NaN,8500
34,VGLUT3KOAlpha9KO,10,3.04171796518048,8500
34,VGLUT3KOAlpha9KO,20,2.86822126164073,8000
34,VGLUT3KOAlpha9KO,30,2.85586358832201,8000
34,VGLUT3KOAlpha9KO,40,2.50478268305976,7500
34,VGLUT3KOAlpha9KO,50,1.84379424289234,7500
34,VGLUT3KOAlpha9KO,60,1.57282592781633,7500
34,VGLUT3KOAlpha9KO,70,1.21317604979321,6500
34,VGLUT3KOAlpha9KO,80,0.943653491209529,5000
34,VGLUT3KOAlpha9KO,90,1.00381065220034,4500
35,VGLUT3KOAlpha9KO,-10,NaN,NaN
35,VGLUT3KOAlpha9KO,0,2.67754276930623,9000
35,VGLUT3KOAlpha9KO,10,2.50050774023259,8000
35,VGLUT3KOAlpha9KO,20,2.29632074451761,8000
35,VGLUT3KOAlpha9KO,30,2.19198542624275,8000
35,VGLUT3KOAlpha9KO,40,2.04948392515507,7500
35,VGLUT3KOAlpha9KO,50,1.74422301230277,7500
35,VGLUT3KOAlpha9KO,60,1.50681941266542,7500
35,VGLUT3KOAlpha9KO,70,1.21178021292711,6000
35,VGLUT3KOAlpha9KO,80,1.26619053792428,5500
35,VGLUT3KOAlpha9KO,90,1.35269003295385,5000
