Group,Mouse,Level,BF,Q10dB
Alpha9KO,8,40,8000,2.18142584783846
Alpha9KO,8,50,7000,1.59970729965911
Alpha9KO,8,60,7000,1.48745998375799
Alpha9KO,8,70,6500,1.36302077181557
Alpha9KO,8,80,5000,1.04519066788471
Alpha9KO,8,90,5000,1.20629812812387
Alpha9KO,9,-10,8000,NaN
Alpha9KO,9,0,9500,3.13446979821742
Alpha9KO,9,10,9500,3.29347695047985
Alpha9KO,9,20,9500,3.13374505483695
Alpha9KO,9,30,8500,2.56950211102339
Alpha9KO,9,40,8500,2.06684385704609
Alpha9KO,9,50,8000,1.60857500655471
Alpha9KO,9,60,8000,1.52299007302872
Alpha9KO,9,70,7500,1.39731641353255
Alpha9KO,9,80,6000,1.13280152870456
Alpha9KO,9,90,5000,1.11713016721854
VGLUT3KO,1,-10,9000,NaN
VGLUT3KO,1,0,8500,2.43528544838233
VGLUT3KO,1,10,8500,2.52842918295133
VGLUT3KO,1,20,8000,2.51586373760144
VGLUT3KO,1,30,8000,2.68366758393366
VGLUT3KO,1,40,8000,2.57177830933875
VGLUT3KO,1,50,8000,2.11691424370337
VGLUT3KO,1,60,7500,1.56179801843981
VGLUT3KO,1,70,6500,1.25293967095944
VGLUT3KO,1,80,6000,1.13299482825553
VGLUT3KO,1,90,4500,0.943899128462937
VGLUT3KO,2,-10,9000,NaN
VGLUT3KO,2,0,9500,3.29453747169844
VGLUT3KO,2,10,9000,3.3802154015302
VGLUT3KO,2,20,9000,3.25215610184653
VGLUT3KO,2,30,9000,3.10427107777857
VGLUT3KO,2,40,8500,2.64964833767407
VGLUT3KO,2,50,8500,2.00913753688092
VGLUT3KO,2,60,8000,1.5247739085806
VGLUT3KO,2,70,7500,1.29405881313121
VGLUT3KO,2,80,6500,1.12050415057039
VGLUT3KO,2,90,5500,1.06254137219405
VGLUT3KO,3,-10,9000,NaN
VGLUT3KO,3,0,9500,3.42888636877143
VGLUT3KO,3,10,9000,3.10867555436557
VGLUT3KO,3,20,9000,3.0731462603692
VGLUT3KO,3,30,8500,2.29153170289198
VGLUT3KO,3,40,8000,1.8074909057794
VGLUT3KO,3,50,8000,1.49922958285241
VGLUT3KO,3,60,6000,1.12070152120213
VGLUT3KO,3,70,5500,1.2182543773133
VGLUT3KO,3,80,5000,1.29304002511353
VGLUT3KO,3,90,4500,1.16597960173055
VGLUT3KO,4,-10,8500,NaN
VGLUT3KO,4,0,8500,3.89924995459634
VGLUT3KO,4,10,8000,3.11747797216516
VGLUT3KO,4,20,8000,3.27986755673407
VGLUT3KO,4,30,8000,3.04690302423308
VGLUT3KO,4,40,7500,2.04845246896278
VGLUT3KO,4,50,7500,1.62928330787779
VGLUT3KO,4,60,6500,1.33574413411698
VGLUT3KO,4,70,5500,1.20476153524339
VGLUT3KO,4,80,5500,1.41005838776289
VGLUT3KO,4,90,5000,1.38850551188786
VGLUT3KO,5,-10,9500,NaN
VGLUT3KO,5,0,4000,NaN
VGLUT3KO,5,10,10000,3.14258978062389
VGLUT3KO,5,20,10000,3.23705063047517
VGLUT3KO,5,30,9500,3.22003371150551
VGLUT3KO,5,40,9500,2.42155782505076
VGLUT3KO,5,50,8500,1.81074352893845
VGLUT3KO,5,60,8500,1.52509911407657
VGLUT3KO,5,70,8000,1.33750701572916
VGLUT3KO,5,80,6500,1.1955637258242
VGLUT3KO,5,90,6000,1.28807858566695
VGLUT3KO,6,-10,NaN,NaN
VGLUT3KO,6,0,8500,2.47585911962693
VGLUT3KO,6,10,8500,2.57567546634764
VGLUT3KO,6,20,8500,2.81551612913506
VGLUT3KO,6,30,8500,3.02041209733474
VGLUT3KO,6,40,8000,2.22150746043365
VGLUT3KO,6,50,8000,1.96729468886913
VGLUT3KO,6,60,7000,1.52465992128561
VGLUT3KO,6,70,6500,1.50831392711382
VGLUT3KO,6,80,6000,1.42786252129157
VGLUT3KO,6,90,6000,1.46865998264196
VGLUT3KO,7,-10,8000,NaN
VGLUT3KO,7,0,8500,3.13520193471709
VGLUT3KO,7,10,8500,3.03183907796774
VGLUT3KO,7,20,9000,3.1109440813151
VGLUT3KO,7,30,8500,2.84327358498983
VGLUT3KO,7,40,7500,2.3162911765301
VGLUT3KO,7,50,7000,1.81774139146484
VGLUT3KO,7,60,7000,1.64400882818439
VGLUT3KO,7,70,7000,1.40964828583364
VGLUT3KO,7,80,6000,1.270010587921
VGLUT3KO,7,90,5000,1.13079912991284
VGLUT3KO,8,-10,NaN,NaN
VGLUT3KO,8,0,8000,3.17993533736586
VGLUT3KO,8,10,8500,2.2783497118901
VGLUT3KO,8,20,8000,2.23753774964246
VGLUT3KO,8,30,8000,2.04708255185667
VGLUT3KO,8,40,7500,1.79145679405132
VGLUT3KO,8,50,7000,1.51865373131551
VGLUT3KO,8,60,6500,1.38660489372581
VGLUT3KO,8,70,6000,1.28596110653235
VGLUT3KO,8,80,5000,1.19839213233173
VGLUT3KO,8,90,5000,1.29801708489798
VGLUT3KOAlpha9KO,1,-10,NaN,NaN
VGLUT3KOAlpha9KO,1,0,8000,NaN
VGLUT3KOAlpha9KO,1,10,8000,2.68075093195974
VGLUT3KOAlpha9KO,1,20,8000,2.27491535730565
VGLUT3KOAlpha9KO,1,30,8000,2.51077758355599
VGLUT3KOAlpha9KO,1,40,8000,2.50156941553571
VGLUT3KOAlpha9KO,1,50,7500,2.24359742357286
VGLUT3KOAlpha9KO,1,60,7000,1.72072221664169
VGLUT3KOAlpha9KO,1,70,6500,1.47649288661343
VGLUT3KOAlpha9KO,1,80,6000,1.25312511031669
VGLUT3KOAlpha9KO,1,90,5500,1.17150880663218
VGLUT3KOAlpha9KO,2,-10,NaN,NaN
VGLUT3KOAlpha9KO,2,0,8000,NaN
VGLUT3KOAlpha9KO,2,10,8000,1.78452643826955
VGLUT3KOAlpha9KO,2,20,8500,1.84829776615705
VGLUT3KOAlpha9KO,2,30,8500,1.96087639369775
VGLUT3KOAlpha9KO,2,40,8000,1.57380999826723
VGLUT3KOAlpha9KO,2,50,7500,1.4533992489025
VGLUT3KOAlpha9KO,2,60,7000,1.41828180455026
VGLUT3KOAlpha9KO,2,70,5500,1.12970106230185
VGLUT3KOAlpha9KO,2,80,5000,1.24753833631682
VGLUT3KOAlpha9KO,2,90,5000,1.34428425115475
VGLUT3KOAlpha9KO,3,-10,9000,NaN
VGLUT3KOAlpha9KO,3,0,9000,3.3012158328243
VGLUT3KOAlpha9KO,3,10,9000,3.37131993101848
VGLUT3KOAlpha9KO,3,20,9000,3.27060304137244
VGLUT3KOAlpha9KO,3,30,8500,2.99255104397706
VGLUT3KOAlpha9KO,3,40,8000,2.57682955285158
VGLUT3KOAlpha9KO,3,50,7500,1.75456287255029
VGLUT3KOAlpha9KO,3,60,7500,1.50847698092155
VGLUT3KOAlpha9KO,3,70,6000,1.17734126219118
VGLUT3KOAlpha9KO,3,80,5500,1.13683188856681
VGLUT3KOAlpha9KO,3,90,4500,1.12754266639812
VGLUT3KOAlpha9KO,4,-10,NaN,NaN
VGLUT3KOAlpha9KO,4,0,NaN,NaN
VGLUT3KOAlpha9KO,4,10,11000,NaN
VGLUT3KOAlpha9KO,4,20,7500,NaN
VGLUT3KOAlpha9KO,4,30,8000,2.27205576363711
VGLUT3KOAlpha9KO,4,40,7500,2.02094137851699
VGLUT3KOAlpha9KO,4,50,8000,1.73433496967823
VGLUT3KOAlpha9KO,4,60,7000,1.42542521753865
VGLUT3KOAlpha9KO,4,70,6000,1.12641441683855
VGLUT3KOAlpha9KO,4,80,5000,1.00226119959967
VGLUT3KOAlpha9KO,4,90,5000,1.28906414108002
VGLUT3KOAlpha9KO,5,-10,NaN,NaN
VGLUT3KOAlpha9KO,5,0,4000,NaN
VGLUT3KOAlpha9KO,5,10,8500,NaN
VGLUT3KOAlpha9KO,5,20,8500,NaN
VGLUT3KOAlpha9KO,5,30,8500,1.95442500462256
VGLUT3KOAlpha9KO,5,40,8500,1.91618610324677
VGLUT3KOAlpha9KO,5,50,8500,1.72596321145306
VGLUT3KOAlpha9KO,5,60,7000,1.23769519266459
VGLUT3KOAlpha9KO,5,70,5500,1.00120415807127
VGLUT3KOAlpha9KO,5,80,5500,1.06704888455805
VGLUT3KOAlpha9KO,5,90,5000,1.23067194527944
VGLUT3KOAlpha9KO,6,-10,NaN,NaN
VGLUT3KOAlpha9KO,6,0,8500,3.84160992809823
VGLUT3KOAlpha9KO,6,10,8500,4.40735280246535
VGLUT3KOAlpha9KO,6,20,8000,3.90913307002317
VGLUT3KOAlpha9KO,6,30,8000,3.192966231128
VGLUT3KOAlpha9KO,6,40,8000,2.5091211423885
VGLUT3KOAlpha9KO,6,50,7000,1.76027350836624
VGLUT3KOAlpha9KO,6,60,7000,1.56977373139837
VGLUT3KOAlpha9KO,6,70,6500,1.32601025296383
VGLUT3KOAlpha9KO,6,80,6000,1.13527516946793
VGLUT3KOAlpha9KO,6,90,5000,1.11850370246482
VGLUT3KOAlpha9KO,7,-10,NaN,NaN
VGLUT3KOAlpha9KO,7,0,10500,3.80176796284996
VGLUT3KOAlpha9KO,7,10,11000,3.7003112637199
VGLUT3KOAlpha9KO,7,20,10500,3.27847406097951
VGLUT3KOAlpha9KO,7,30,10000,2.9163326117231
VGLUT3KOAlpha9KO,7,40,10000,2.69416421482139
VGLUT3KOAlpha9KO,7,50,9500,1.96010480453937
VGLUT3KOAlpha9KO,7,60,8500,1.60454361651331
VGLUT3KOAlpha9KO,7,70,8000,1.46128107755452
VGLUT3KOAlpha9KO,7,80,6500,1.14896743375765
VGLUT3KOAlpha9KO,7,90,6000,1.22072375599467
VGLUT3KOAlpha9KO,8,-10,9000,NaN
VGLUT3KOAlpha9KO,8,0,8500,NaN
VGLUT3KOAlpha9KO,8,10,8500,3.04171796518048
VGLUT3KOAlpha9KO,8,20,8000,2.86822126164073
VGLUT3KOAlpha9KO,8,30,8000,2.85586358832201
VGLUT3KOAlpha9KO,8,40,7500,2.50478268305976
VGLUT3KOAlpha9KO,8,50,7500,1.84379424289234
VGLUT3KOAlpha9KO,8,60,7500,1.57282592781633
VGLUT3KOAlpha9KO,8,70,6500,1.21317604979321
VGLUT3KOAlpha9KO,8,80,5000,0.943653491209529
VGLUT3KOAlpha9KO,8,90,4500,1.00381065220034
VGLUT3KOAlpha9KO,9,-10,NaN,NaN
VGLUT3KOAlpha9KO,9,0,9000,2.67754276930623
VGLUT3KOAlpha9KO,9,10,8000,2.50050774023259
VGLUT3KOAlpha9KO,9,20,8000,2.29632074451761
VGLUT3KOAlpha9KO,9,30,8000,2.19198542624275
VGLUT3KOAlpha9KO,9,40,7500,2.04948392515507
VGLUT3KOAlpha9KO,9,50,7500,1.74422301230277
VGLUT3KOAlpha9KO,9,60,7500,1.50681941266542
VGLUT3KOAlpha9KO,9,70,6000,1.21178021292711
VGLUT3KOAlpha9KO,9,80,5500,1.26619053792428
VGLUT3KOAlpha9KO,9,90,5000,1.35269003295385
