Group,Mouse,Freq,Gain3070
VGLUT3KO,8,12500,NaN
VGLUT3KO,8,13000,NaN
VGLUT3KO,8,13500,NaN
VGLUT3KO,8,14000,NaN
VGLUT3KO,8,14500,NaN
VGLUT3KO,8,15000,NaN
VGLUT3KOAlpha9KO,1,500,NaN
VGLUT3KOAlpha9KO,1,1000,NaN
VGLUT3KOAlpha9KO,1,1500,NaN
VGLUT3KOAlpha9KO,1,2000,NaN
VGLUT3KOAlpha9KO,1,2500,NaN
VGLUT3KOAlpha9KO,1,3000,NaN
VGLUT3KOAlpha9KO,1,3500,NaN
VGLUT3KOAlpha9KO,1,4000,NaN
VGLUT3KOAlpha9KO,1,4500,-18.1768198290417
VGLUT3KOAlpha9KO,1,5000,-17.0864328958678
VGLUT3KOAlpha9KO,1,5500,-16.1844747450329
VGLUT3KOAlpha9KO,1,6000,-12.7030103090949
VGLUT3KOAlpha9KO,1,6500,-5.67702010790081
VGLUT3KOAlpha9KO,1,7000,0.280084232690641
VGLUT3KOAlpha9KO,1,7500,6.37608949268336
VGLUT3KOAlpha9KO,1,8000,11.7764666509525
VGLUT3KOAlpha9KO,1,8500,15.8862437371411
VGLUT3KOAlpha9KO,1,9000,25.2490798741862
VGLUT3KOAlpha9KO,1,9500,26.6252606419778
VGLUT3KOAlpha9KO,1,10000,26.7533048849816
VGLUT3KOAlpha9KO,1,10500,23.333226197966
VGLUT3KOAlpha9KO,1,11000,NaN
VGLUT3KOAlpha9KO,1,11500,NaN
VGLUT3KOAlpha9KO,1,12000,NaN
VGLUT3KOAlpha9KO,1,12500,NaN
VGLUT3KOAlpha9KO,1,13000,NaN
VGLUT3KOAlpha9KO,1,13500,NaN
VGLUT3KOAlpha9KO,1,14000,NaN
VGLUT3KOAlpha9KO,1,14500,NaN
VGLUT3KOAlpha9KO,1,15000,NaN
VGLUT3KOAlpha9KO,2,500,NaN
VGLUT3KOAlpha9KO,2,1000,NaN
VGLUT3KOAlpha9KO,2,1500,NaN
VGLUT3KOAlpha9KO,2,2000,NaN
VGLUT3KOAlpha9KO,2,2500,NaN
VGLUT3KOAlpha9KO,2,3000,-14.0107504560805
VGLUT3KOAlpha9KO,2,3500,-17.8175712190044
VGLUT3KOAlpha9KO,2,4000,-20.7695215457594
VGLUT3KOAlpha9KO,2,4500,-17.1657663471521
VGLUT3KOAlpha9KO,2,5000,-15.3008096951449
VGLUT3KOAlpha9KO,2,5500,-15.9871036835755
VGLUT3KOAlpha9KO,2,6000,-9.23893493425792
VGLUT3KOAlpha9KO,2,6500,-7.85612529364486
VGLUT3KOAlpha9KO,2,7000,-4.26531505270691
VGLUT3KOAlpha9KO,2,7500,3.14499837072523
VGLUT3KOAlpha9KO,2,8000,9.23396309119009
VGLUT3KOAlpha9KO,2,8500,12.0712045006833
VGLUT3KOAlpha9KO,2,9000,15.6599095187565
VGLUT3KOAlpha9KO,2,9500,21.1837947134893
VGLUT3KOAlpha9KO,2,10000,24.2979492940488
VGLUT3KOAlpha9KO,2,10500,20.0021715126646
VGLUT3KOAlpha9KO,2,11000,NaN
VGLUT3KOAlpha9KO,2,11500,NaN
VGLUT3KOAlpha9KO,2,12000,NaN
VGLUT3KOAlpha9KO,2,12500,NaN
VGLUT3KOAlpha9KO,2,13000,26.6983622629789
VGLUT3KOAlpha9KO,2,13500,NaN
VGLUT3KOAlpha9KO,2,14000,NaN
VGLUT3KOAlpha9KO,2,14500,NaN
VGLUT3KOAlpha9KO,2,15000,NaN
VGLUT3KOAlpha9KO,3,500,NaN
VGLUT3KOAlpha9KO,3,1000,NaN
VGLUT3KOAlpha9KO,3,1500,NaN
VGLUT3KOAlpha9KO,3,2000,NaN
VGLUT3KOAlpha9KO,3,2500,NaN
VGLUT3KOAlpha9KO,3,3000,-14.1902173047182
VGLUT3KOAlpha9KO,3,3500,NaN
VGLUT3KOAlpha9KO,3,4000,-18.7252986972841
VGLUT3KOAlpha9KO,3,4500,-17.2872247213791
VGLUT3KOAlpha9KO,3,5000,-14.3558615455862
VGLUT3KOAlpha9KO,3,5500,-13.6460502789136
VGLUT3KOAlpha9KO,3,6000,-8.51485142981666
VGLUT3KOAlpha9KO,3,6500,-9.09665816814509
VGLUT3KOAlpha9KO,3,7000,-0.456961484649767
VGLUT3KOAlpha9KO,3,7500,9.37715470155172
VGLUT3KOAlpha9KO,3,8000,17.1626259872878
VGLUT3KOAlpha9KO,3,8500,22.0222328840707
VGLUT3KOAlpha9KO,3,9000,27.7244205315548
VGLUT3KOAlpha9KO,3,9500,31.2814975168625
VGLUT3KOAlpha9KO,3,10000,32.3008261173434
VGLUT3KOAlpha9KO,3,10500,32.2590036151834
VGLUT3KOAlpha9KO,3,11000,31.8139360443847
VGLUT3KOAlpha9KO,3,11500,29.9145553352499
VGLUT3KOAlpha9KO,3,12000,NaN
VGLUT3KOAlpha9KO,3,12500,NaN
VGLUT3KOAlpha9KO,3,13000,NaN
VGLUT3KOAlpha9KO,3,13500,NaN
VGLUT3KOAlpha9KO,3,14000,NaN
VGLUT3KOAlpha9KO,3,14500,NaN
VGLUT3KOAlpha9KO,3,15000,NaN
VGLUT3KOAlpha9KO,4,500,NaN
VGLUT3KOAlpha9KO,4,1000,NaN
VGLUT3KOAlpha9KO,4,1500,NaN
VGLUT3KOAlpha9KO,4,2000,NaN
VGLUT3KOAlpha9KO,4,2500,NaN
VGLUT3KOAlpha9KO,4,3000,NaN
VGLUT3KOAlpha9KO,4,3500,NaN
VGLUT3KOAlpha9KO,4,4000,NaN
VGLUT3KOAlpha9KO,4,4500,-15.7059252248576
VGLUT3KOAlpha9KO,4,5000,NaN
VGLUT3KOAlpha9KO,4,5500,-14.0061746323104
VGLUT3KOAlpha9KO,4,6000,-9.68844914341808
VGLUT3KOAlpha9KO,4,6500,-7.74843798680606
VGLUT3KOAlpha9KO,4,7000,-6.79912570634411
VGLUT3KOAlpha9KO,4,7500,-0.0785828928935288
VGLUT3KOAlpha9KO,4,8000,NaN
VGLUT3KOAlpha9KO,4,8500,5.21970815323159
VGLUT3KOAlpha9KO,4,9000,7.17363966394041
VGLUT3KOAlpha9KO,4,9500,NaN
VGLUT3KOAlpha9KO,4,10000,NaN
VGLUT3KOAlpha9KO,4,10500,NaN
VGLUT3KOAlpha9KO,4,11000,NaN
VGLUT3KOAlpha9KO,4,11500,NaN
VGLUT3KOAlpha9KO,4,12000,NaN
VGLUT3KOAlpha9KO,4,12500,NaN
VGLUT3KOAlpha9KO,4,13000,NaN
VGLUT3KOAlpha9KO,4,13500,NaN
VGLUT3KOAlpha9KO,4,14000,NaN
VGLUT3KOAlpha9KO,4,14500,NaN
VGLUT3KOAlpha9KO,4,15000,NaN
VGLUT3KOAlpha9KO,5,500,NaN
VGLUT3KOAlpha9KO,5,1000,NaN
VGLUT3KOAlpha9KO,5,1500,NaN
VGLUT3KOAlpha9KO,5,2000,NaN
VGLUT3KOAlpha9KO,5,2500,NaN
VGLUT3KOAlpha9KO,5,3000,NaN
VGLUT3KOAlpha9KO,5,3500,NaN
VGLUT3KOAlpha9KO,5,4000,NaN
VGLUT3KOAlpha9KO,5,4500,NaN
VGLUT3KOAlpha9KO,5,5000,NaN
VGLUT3KOAlpha9KO,5,5500,-15.2850680048471
VGLUT3KOAlpha9KO,5,6000,-12.0802260839368
VGLUT3KOAlpha9KO,5,6500,-10.4045972285581
VGLUT3KOAlpha9KO,5,7000,-10.113783284165
VGLUT3KOAlpha9KO,5,7500,-3.37328331431981
VGLUT3KOAlpha9KO,5,8000,-0.545038045596151
VGLUT3KOAlpha9KO,5,8500,4.02204082716642
VGLUT3KOAlpha9KO,5,9000,7.11858143168708
VGLUT3KOAlpha9KO,5,9500,9.74228535971827
VGLUT3KOAlpha9KO,5,10000,6.04220519034132
VGLUT3KOAlpha9KO,5,10500,NaN
VGLUT3KOAlpha9KO,5,11000,NaN
VGLUT3KOAlpha9KO,5,11500,NaN
VGLUT3KOAlpha9KO,5,12000,NaN
VGLUT3KOAlpha9KO,5,12500,NaN
VGLUT3KOAlpha9KO,5,13000,NaN
VGLUT3KOAlpha9KO,5,13500,NaN
VGLUT3KOAlpha9KO,5,14000,NaN
VGLUT3KOAlpha9KO,5,14500,NaN
VGLUT3KOAlpha9KO,5,15000,NaN
VGLUT3KOAlpha9KO,6,500,NaN
VGLUT3KOAlpha9KO,6,1000,NaN
VGLUT3KOAlpha9KO,6,1500,NaN
VGLUT3KOAlpha9KO,6,2000,NaN
VGLUT3KOAlpha9KO,6,2500,NaN
VGLUT3KOAlpha9KO,6,3000,NaN
VGLUT3KOAlpha9KO,6,3500,NaN
VGLUT3KOAlpha9KO,6,4000,-19.925271035259
VGLUT3KOAlpha9KO,6,4500,-14.1862233363466
VGLUT3KOAlpha9KO,6,5000,-11.612286923815
VGLUT3KOAlpha9KO,6,5500,-12.7382325741316
VGLUT3KOAlpha9KO,6,6000,-10.1408871901337
VGLUT3KOAlpha9KO,6,6500,-5.2859132745433
VGLUT3KOAlpha9KO,6,7000,4.17941605703354
VGLUT3KOAlpha9KO,6,7500,11.8438731151745
VGLUT3KOAlpha9KO,6,8000,17.1767316085887
VGLUT3KOAlpha9KO,6,8500,22.0692571027112
VGLUT3KOAlpha9KO,6,9000,19.6271478920185
VGLUT3KOAlpha9KO,6,9500,19.3105401233846
VGLUT3KOAlpha9KO,6,10000,NaN
VGLUT3KOAlpha9KO,6,10500,NaN
VGLUT3KOAlpha9KO,6,11000,NaN
VGLUT3KOAlpha9KO,6,11500,NaN
VGLUT3KOAlpha9KO,6,12000,NaN
VGLUT3KOAlpha9KO,6,12500,NaN
VGLUT3KOAlpha9KO,6,13000,NaN
VGLUT3KOAlpha9KO,6,13500,NaN
VGLUT3KOAlpha9KO,6,14000,NaN
VGLUT3KOAlpha9KO,6,14500,NaN
VGLUT3KOAlpha9KO,6,15000,NaN
VGLUT3KOAlpha9KO,7,500,NaN
VGLUT3KOAlpha9KO,7,1000,NaN
VGLUT3KOAlpha9KO,7,1500,NaN
VGLUT3KOAlpha9KO,7,2000,NaN
VGLUT3KOAlpha9KO,7,2500,NaN
VGLUT3KOAlpha9KO,7,3000,NaN
VGLUT3KOAlpha9KO,7,3500,NaN
VGLUT3KOAlpha9KO,7,4000,NaN
VGLUT3KOAlpha9KO,7,4500,NaN
VGLUT3KOAlpha9KO,7,5000,-19.3026295062744
VGLUT3KOAlpha9KO,7,5500,-17.2378486368089
VGLUT3KOAlpha9KO,7,6000,-18.4471911940587
VGLUT3KOAlpha9KO,7,6500,-15.7301545006022
VGLUT3KOAlpha9KO,7,7000,-12.8362867187406
VGLUT3KOAlpha9KO,7,7500,-11.2065997541629
VGLUT3KOAlpha9KO,7,8000,-6.07287425351613
VGLUT3KOAlpha9KO,7,8500,-0.32895088936494
VGLUT3KOAlpha9KO,7,9000,4.71323731776778
VGLUT3KOAlpha9KO,7,9500,9.76492237957139
VGLUT3KOAlpha9KO,7,10000,17.3463847820603
VGLUT3KOAlpha9KO,7,10500,22.70817554368
VGLUT3KOAlpha9KO,7,11000,26.0009356801916
VGLUT3KOAlpha9KO,7,11500,27.0188528887819
VGLUT3KOAlpha9KO,7,12000,29.2494748626446
VGLUT3KOAlpha9KO,7,12500,27.0580779186515
VGLUT3KOAlpha9KO,7,13000,27.0982137836313
VGLUT3KOAlpha9KO,7,13500,21.3822684635975
VGLUT3KOAlpha9KO,7,14000,33.6875524128167
VGLUT3KOAlpha9KO,7,14500,NaN
VGLUT3KOAlpha9KO,7,15000,NaN
VGLUT3KOAlpha9KO,8,500,NaN
VGLUT3KOAlpha9KO,8,1000,NaN
VGLUT3KOAlpha9KO,8,1500,NaN
VGLUT3KOAlpha9KO,8,2000,NaN
VGLUT3KOAlpha9KO,8,2500,NaN
VGLUT3KOAlpha9KO,8,3000,NaN
VGLUT3KOAlpha9KO,8,3500,-17.6141866445352
VGLUT3KOAlpha9KO,8,4000,-21.0376226927273
VGLUT3KOAlpha9KO,8,4500,-16.9291424221545
VGLUT3KOAlpha9KO,8,5000,-14.085196728438
VGLUT3KOAlpha9KO,8,5500,-11.9079066531818
VGLUT3KOAlpha9KO,8,6000,-10.5110775760742
VGLUT3KOAlpha9KO,8,6500,-4.49988188581885
VGLUT3KOAlpha9KO,8,7000,1.58202250756215
VGLUT3KOAlpha9KO,8,7500,7.06864765090886
VGLUT3KOAlpha9KO,8,8000,11.6614605671474
VGLUT3KOAlpha9KO,8,8500,15.4751878545901
VGLUT3KOAlpha9KO,8,9000,18.8826389757668
VGLUT3KOAlpha9KO,8,9500,20.5594400800983
VGLUT3KOAlpha9KO,8,10000,27.2110349764423
VGLUT3KOAlpha9KO,8,10500,19.0436047805717
VGLUT3KOAlpha9KO,8,11000,22.3198286121082
VGLUT3KOAlpha9KO,8,11500,NaN
VGLUT3KOAlpha9KO,8,12000,NaN
VGLUT3KOAlpha9KO,8,12500,NaN
VGLUT3KOAlpha9KO,8,13000,NaN
VGLUT3KOAlpha9KO,8,13500,NaN
VGLUT3KOAlpha9KO,8,14000,NaN
VGLUT3KOAlpha9KO,8,14500,NaN
VGLUT3KOAlpha9KO,8,15000,NaN
VGLUT3KOAlpha9KO,9,500,NaN
VGLUT3KOAlpha9KO,9,1000,NaN
VGLUT3KOAlpha9KO,9,1500,NaN
VGLUT3KOAlpha9KO,9,2000,NaN
VGLUT3KOAlpha9KO,9,2500,NaN
VGLUT3KOAlpha9KO,9,3000,NaN
VGLUT3KOAlpha9KO,9,3500,-15.7001230472778
VGLUT3KOAlpha9KO,9,4000,-19.9937850118193
VGLUT3KOAlpha9KO,9,4500,-17.8218181359928
VGLUT3KOAlpha9KO,9,5000,-17.0308216281399
VGLUT3KOAlpha9KO,9,5500,-14.4661353504349
VGLUT3KOAlpha9KO,9,6000,-10.3191585189482
VGLUT3KOAlpha9KO,9,6500,-5.17203492927796
VGLUT3KOAlpha9KO,9,7000,1.8929089760443
VGLUT3KOAlpha9KO,9,7500,8.25752375796569
VGLUT3KOAlpha9KO,9,8000,12.6672974890314
VGLUT3KOAlpha9KO,9,8500,16.5013040713271
VGLUT3KOAlpha9KO,9,9000,20.2542259065577
VGLUT3KOAlpha9KO,9,9500,22.9612150025684
VGLUT3KOAlpha9KO,9,10000,23.5018665243688
VGLUT3KOAlpha9KO,9,10500,35.2224996437397
VGLUT3KOAlpha9KO,9,11000,19.2711337420899
VGLUT3KOAlpha9KO,9,11500,NaN
VGLUT3KOAlpha9KO,9,12000,NaN
VGLUT3KOAlpha9KO,9,12500,NaN
VGLUT3KOAlpha9KO,9,13000,NaN
VGLUT3KOAlpha9KO,9,13500,NaN
VGLUT3KOAlpha9KO,9,14000,NaN
VGLUT3KOAlpha9KO,9,14500,NaN
VGLUT3KOAlpha9KO,9,15000,NaN
