Group,Mouse,Freq,Gain3070
WT,8,8500,19.7799272775257
WT,8,9000,24.5299749815815
WT,8,9500,20.285527006621
WT,8,10000,22.2124425122139
WT,8,10500,NaN
WT,8,11000,NaN
WT,8,11500,NaN
WT,8,12000,NaN
WT,8,12500,NaN
WT,8,13000,NaN
WT,8,13500,NaN
WT,8,14000,NaN
WT,8,14500,NaN
WT,8,15000,NaN
WT,9,500,NaN
WT,9,1000,NaN
WT,9,1500,NaN
WT,9,2000,NaN
WT,9,2500,NaN
WT,9,3000,NaN
WT,9,3500,NaN
WT,9,4000,NaN
WT,9,4500,NaN
WT,9,5000,NaN
WT,9,5500,-16.2801278928231
WT,9,6000,-8.3637100032518
WT,9,6500,-3.81261075458191
WT,9,7000,-1.07615841626518
WT,9,7500,3.86036632602869
WT,9,8000,8.78530968728498
WT,9,8500,15.2939769634586
WT,9,9000,18.7621982429469
WT,9,9500,30.7600089247136
WT,9,10000,17.6351368337593
WT,9,10500,NaN
WT,9,11000,NaN
WT,9,11500,NaN
WT,9,12000,NaN
WT,9,12500,NaN
WT,9,13000,NaN
WT,9,13500,NaN
WT,9,14000,NaN
WT,9,14500,NaN
WT,9,15000,NaN
Alpha9KO,1,500,NaN
Alpha9KO,1,1000,NaN
Alpha9KO,1,1500,NaN
Alpha9KO,1,2000,NaN
Alpha9KO,1,2500,-15.871441682813
Alpha9KO,1,3000,-21.4262870574201
Alpha9KO,1,3500,-25.0706446032279
Alpha9KO,1,4000,-20.3926176515061
Alpha9KO,1,4500,-19.8972737645211
Alpha9KO,1,5000,-18.516045973542
Alpha9KO,1,5500,-17.0470300686009
Alpha9KO,1,6000,-13.2871629831487
Alpha9KO,1,6500,-9.37941074586697
Alpha9KO,1,7000,-3.9733489518803
Alpha9KO,1,7500,0.478380311609904
Alpha9KO,1,8000,7.09821048305559
Alpha9KO,1,8500,10.0946128966143
Alpha9KO,1,9000,13.2348004593201
Alpha9KO,1,9500,16.1139945345075
Alpha9KO,1,10000,20.4226429927516
Alpha9KO,1,10500,NaN
Alpha9KO,1,11000,NaN
Alpha9KO,1,11500,NaN
Alpha9KO,1,12000,NaN
Alpha9KO,1,12500,NaN
Alpha9KO,1,13000,NaN
Alpha9KO,1,13500,NaN
Alpha9KO,1,14000,NaN
Alpha9KO,1,14500,NaN
Alpha9KO,1,15000,NaN
Alpha9KO,2,500,NaN
Alpha9KO,2,1000,NaN
Alpha9KO,2,1500,NaN
Alpha9KO,2,2000,NaN
Alpha9KO,2,2500,NaN
Alpha9KO,2,3000,NaN
Alpha9KO,2,3500,NaN
Alpha9KO,2,4000,-16.7197901600509
Alpha9KO,2,4500,-19.848324503567
Alpha9KO,2,5000,-15.5573084798043
Alpha9KO,2,5500,-14.9748303680368
Alpha9KO,2,6000,-9.78420945900692
Alpha9KO,2,6500,-6.68812346335269
Alpha9KO,2,7000,-2.06096372194882
Alpha9KO,2,7500,3.51393280150103
Alpha9KO,2,8000,10.6060091994167
Alpha9KO,2,8500,12.672201916438
Alpha9KO,2,9000,15.7401811524587
Alpha9KO,2,9500,20.2448598605051
Alpha9KO,2,10000,21.6209882852825
Alpha9KO,2,10500,15.261446541326
Alpha9KO,2,11000,24.4611634589035
Alpha9KO,2,11500,32.9569014819493
Alpha9KO,2,12000,NaN
Alpha9KO,2,12500,NaN
Alpha9KO,2,13000,NaN
Alpha9KO,2,13500,NaN
Alpha9KO,2,14000,NaN
Alpha9KO,2,14500,NaN
Alpha9KO,2,15000,NaN
Alpha9KO,3,500,NaN
Alpha9KO,3,1000,NaN
Alpha9KO,3,1500,NaN
Alpha9KO,3,2000,NaN
Alpha9KO,3,2500,NaN
Alpha9KO,3,3000,NaN
Alpha9KO,3,3500,NaN
Alpha9KO,3,4000,NaN
Alpha9KO,3,4500,NaN
Alpha9KO,3,5000,NaN
Alpha9KO,3,5500,NaN
Alpha9KO,3,6000,-11.0381293168712
Alpha9KO,3,6500,-9.99811466371425
Alpha9KO,3,7000,-8.79991576042264
Alpha9KO,3,7500,-7.25470672005743
Alpha9KO,3,8000,2.48068876138114
Alpha9KO,3,8500,4.60934450976892
Alpha9KO,3,9000,6.76846112364374
Alpha9KO,3,9500,12.7408417039151
Alpha9KO,3,10000,13.0975162446513
Alpha9KO,3,10500,19.1455176798085
Alpha9KO,3,11000,NaN
Alpha9KO,3,11500,NaN
Alpha9KO,3,12000,NaN
Alpha9KO,3,12500,NaN
Alpha9KO,3,13000,NaN
Alpha9KO,3,13500,27.6023667370472
Alpha9KO,3,14000,NaN
Alpha9KO,3,14500,NaN
Alpha9KO,3,15000,NaN
Alpha9KO,4,500,NaN
Alpha9KO,4,1000,NaN
Alpha9KO,4,1500,NaN
Alpha9KO,4,2000,NaN
Alpha9KO,4,2500,NaN
Alpha9KO,4,3000,NaN
Alpha9KO,4,3500,NaN
Alpha9KO,4,4000,NaN
Alpha9KO,4,4500,NaN
Alpha9KO,4,5000,NaN
Alpha9KO,4,5500,-14.6125221033865
Alpha9KO,4,6000,NaN
Alpha9KO,4,6500,-14.4227303900263
Alpha9KO,4,7000,-9.85617220501661
Alpha9KO,4,7500,-4.23321367418826
Alpha9KO,4,8000,2.73313702050829
Alpha9KO,4,8500,10.034915740364
Alpha9KO,4,9000,15.6092508140439
Alpha9KO,4,9500,20.7337324763896
Alpha9KO,4,10000,24.0664030875548
Alpha9KO,4,10500,24.482707570361
Alpha9KO,4,11000,25.3992032926237
Alpha9KO,4,11500,29.5070497877215
Alpha9KO,4,12000,32.6505779915374
Alpha9KO,4,12500,NaN
Alpha9KO,4,13000,NaN
Alpha9KO,4,13500,NaN
Alpha9KO,4,14000,NaN
Alpha9KO,4,14500,NaN
Alpha9KO,4,15000,NaN
Alpha9KO,5,500,NaN
Alpha9KO,5,1000,NaN
Alpha9KO,5,1500,NaN
Alpha9KO,5,2000,NaN
Alpha9KO,5,2500,NaN
Alpha9KO,5,3000,NaN
Alpha9KO,5,3500,NaN
Alpha9KO,5,4000,NaN
Alpha9KO,5,4500,NaN
Alpha9KO,5,5000,-18.8634554902923
Alpha9KO,5,5500,-16.3430089979903
Alpha9KO,5,6000,-13.4323067323231
Alpha9KO,5,6500,-8.75460824270431
Alpha9KO,5,7000,-5.72383019518649
Alpha9KO,5,7500,-3.61209310725585
Alpha9KO,5,8000,2.51523089228241
Alpha9KO,5,8500,8.13564199739051
Alpha9KO,5,9000,11.9615615639717
Alpha9KO,5,9500,18.0773594393535
Alpha9KO,5,10000,22.0523072335298
Alpha9KO,5,10500,23.2357964821697
Alpha9KO,5,11000,17.9048637295678
Alpha9KO,5,11500,NaN
Alpha9KO,5,12000,NaN
Alpha9KO,5,12500,NaN
Alpha9KO,5,13000,NaN
Alpha9KO,5,13500,NaN
Alpha9KO,5,14000,NaN
Alpha9KO,5,14500,NaN
Alpha9KO,5,15000,NaN
Alpha9KO,6,500,NaN
Alpha9KO,6,1000,NaN
Alpha9KO,6,1500,NaN
Alpha9KO,6,2000,NaN
Alpha9KO,6,2500,NaN
Alpha9KO,6,3000,NaN
Alpha9KO,6,3500,NaN
Alpha9KO,6,4000,NaN
Alpha9KO,6,4500,-13.3166051278415
Alpha9KO,6,5000,NaN
Alpha9KO,6,5500,-17.8175458166817
Alpha9KO,6,6000,-16.2572844967737
Alpha9KO,6,6500,-14.1564380636534
Alpha9KO,6,7000,-13.6709336721832
Alpha9KO,6,7500,-8.13418754823032
Alpha9KO,6,8000,-5.9027739370678
Alpha9KO,6,8500,2.25174436386204
Alpha9KO,6,9000,7.17136941335494
Alpha9KO,6,9500,13.3500778973359
Alpha9KO,6,10000,23.8715319118724
Alpha9KO,6,10500,20.5494457097083
Alpha9KO,6,11000,NaN
Alpha9KO,6,11500,NaN
Alpha9KO,6,12000,NaN
Alpha9KO,6,12500,NaN
Alpha9KO,6,13000,NaN
Alpha9KO,6,13500,NaN
Alpha9KO,6,14000,NaN
Alpha9KO,6,14500,NaN
Alpha9KO,6,15000,NaN
Alpha9KO,7,500,NaN
Alpha9KO,7,1000,NaN
Alpha9KO,7,1500,NaN
Alpha9KO,7,2000,NaN
Alpha9KO,7,2500,NaN
Alpha9KO,7,3000,NaN
Alpha9KO,7,3500,NaN
Alpha9KO,7,4000,-20.3952783765596
Alpha9KO,7,4500,NaN
Alpha9KO,7,5000,NaN
Alpha9KO,7,5500,-19.1257804563789
Alpha9KO,7,6000,-18.5912403646729
Alpha9KO,7,6500,-15.5596941101324
Alpha9KO,7,7000,-15.0082474360027
Alpha9KO,7,7500,-10.5307086879887
Alpha9KO,7,8000,-6.25562530505412
Alpha9KO,7,8500,1.27781902843693
Alpha9KO,7,9000,6.44501335722697
Alpha9KO,7,9500,13.7385495850877
Alpha9KO,7,10000,21.7103744103406
Alpha9KO,7,10500,31.4928054044865
Alpha9KO,7,11000,22.8616902646876
Alpha9KO,7,11500,20.8846280735081
Alpha9KO,7,12000,23.8968678548902
Alpha9KO,7,12500,NaN
Alpha9KO,7,13000,NaN
Alpha9KO,7,13500,NaN
Alpha9KO,7,14000,NaN
Alpha9KO,7,14500,NaN
Alpha9KO,7,15000,NaN
Alpha9KO,8,500,NaN
Alpha9KO,8,1000,NaN
Alpha9KO,8,1500,NaN
Alpha9KO,8,2000,NaN
Alpha9KO,8,2500,NaN
Alpha9KO,8,3000,NaN
Alpha9KO,8,3500,NaN
Alpha9KO,8,4000,-11.9026308407046
Alpha9KO,8,4500,-17.6535989776582
Alpha9KO,8,5000,-12.9469986204028
Alpha9KO,8,5500,-8.30043262826231
Alpha9KO,8,6000,-5.66549802324244
Alpha9KO,8,6500,-5.00777369269625
Alpha9KO,8,7000,6.13724043529487
Alpha9KO,8,7500,14.1876505927987
Alpha9KO,8,8000,18.3209184417788
Alpha9KO,8,8500,19.8831398235578
Alpha9KO,8,9000,25.0735539735062
Alpha9KO,8,9500,28.4450422110874
Alpha9KO,8,10000,26.142072039748
Alpha9KO,8,10500,NaN
Alpha9KO,8,11000,NaN
Alpha9KO,8,11500,NaN
Alpha9KO,8,12000,NaN
Alpha9KO,8,12500,NaN
Alpha9KO,8,13000,NaN
Alpha9KO,8,13500,NaN
Alpha9KO,8,14000,NaN
Alpha9KO,8,14500,NaN
Alpha9KO,8,15000,NaN
Alpha9KO,9,500,NaN
Alpha9KO,9,1000,NaN
Alpha9KO,9,1500,NaN
Alpha9KO,9,2000,NaN
Alpha9KO,9,2500,NaN
Alpha9KO,9,3000,NaN
Alpha9KO,9,3500,NaN
Alpha9KO,9,4000,-20.5397377157291
Alpha9KO,9,4500,-18.7966690986846
Alpha9KO,9,5000,-14.5541991301999
Alpha9KO,9,5500,-14.416098050199
Alpha9KO,9,6000,-10.7901550020573
Alpha9KO,9,6500,-10.4644859786624
Alpha9KO,9,7000,-5.30378899650122
Alpha9KO,9,7500,0.706564174027015
Alpha9KO,9,8000,8.63230291484751
Alpha9KO,9,8500,15.7189419185674
Alpha9KO,9,9000,19.6411192989823
Alpha9KO,9,9500,26.3103385731272
Alpha9KO,9,10000,27.6976302489929
Alpha9KO,9,10500,24.8731979329633
Alpha9KO,9,11000,30.0371984764213
Alpha9KO,9,11500,33.678122190641
Alpha9KO,9,12000,NaN
Alpha9KO,9,12500,NaN
Alpha9KO,9,13000,NaN
Alpha9KO,9,13500,NaN
Alpha9KO,9,14000,NaN
Alpha9KO,9,14500,NaN
Alpha9KO,9,15000,NaN
VGLUT3KO,1,500,NaN
VGLUT3KO,1,1000,NaN
VGLUT3KO,1,1500,NaN
VGLUT3KO,1,2000,NaN
VGLUT3KO,1,2500,NaN
VGLUT3KO,1,3000,NaN
VGLUT3KO,1,3500,-19.6985712899525
VGLUT3KO,1,4000,-21.6389171105387
VGLUT3KO,1,4500,-19.9299269784975
VGLUT3KO,1,5000,-15.8458572792789
VGLUT3KO,1,5500,-15.8385016286591
VGLUT3KO,1,6000,-12.0291914010989
VGLUT3KO,1,6500,-8.31431387358277
VGLUT3KO,1,7000,0.0440114469274206
VGLUT3KO,1,7500,10.482663515951
VGLUT3KO,1,8000,18.3697156266811
VGLUT3KO,1,8500,21.812827403231
VGLUT3KO,1,9000,24.7255009575887
VGLUT3KO,1,9500,30.9857921293047
VGLUT3KO,1,10000,32.0432501208098
VGLUT3KO,1,10500,37.1465993209769
VGLUT3KO,1,11000,29.5846699243276
VGLUT3KO,1,11500,30.1383826877077
VGLUT3KO,1,12000,22.6304178657253
VGLUT3KO,1,12500,NaN
VGLUT3KO,1,13000,NaN
