experiment,condition,protocol,genotype,pupilSize,level,q,bf
10,Awake,Multitone,Alpha9KO,na,70,1.45029107512846,8631.09302325581
10,Awake,Multitone,Alpha9KO,na,80,1.35976026082994,8162.59468438538
11,Awake,Multitone,Alpha9KO,na,10,5.11827411274566,10025.0414746544
11,Awake,Multitone,Alpha9KO,na,20,4.1515439650041,10016.8287937743
11,Awake,Multitone,Alpha9KO,na,30,3.44834226413776,9946.32170542636
11,Awake,Multitone,Alpha9KO,na,40,2.82598627764909,9749.74031007752
11,Awake,Multitone,Alpha9KO,na,50,2.47576381481738,9452.34496124031
11,Awake,Multitone,Alpha9KO,na,60,1.77696101593537,8787.62790697674
11,Awake,Multitone,Alpha9KO,na,70,1.59840161105912,8642.50387596899
11,Awake,Multitone,Alpha9KO,na,80,1.5100262699194,8417.73255813953
12,Awake,Multitone,Alpha9KO,na,10,5.08792341520843,10367.2467532468
12,Awake,Multitone,Alpha9KO,na,20,4.15884552234179,10425.7348484848
12,Awake,Multitone,Alpha9KO,na,30,3.49970134077697,10268.4128787879
12,Awake,Multitone,Alpha9KO,na,40,2.84924117652163,10099.1174242424
12,Awake,Multitone,Alpha9KO,na,50,2.30148021775158,9683.39772727273
12,Awake,Multitone,Alpha9KO,na,60,1.65630986957726,8990.00757575758
12,Awake,Multitone,Alpha9KO,na,70,1.48689831563636,8781.35227272727
12,Awake,Multitone,Alpha9KO,na,80,1.38391493818994,8444.74621212121
1,Anesth,Multitone,WT,na,10,NaN,8838
1,Anesth,Multitone,WT,na,20,3.11205674914543,9925
1,Anesth,Multitone,WT,na,30,2.9970206109493,9925
1,Anesth,Multitone,WT,na,40,2.92202304796379,9707.6
1,Anesth,Multitone,WT,na,50,2.7511398852041,8838
1,Anesth,Multitone,WT,na,60,2.94020101770864,8838
1,Anesth,Multitone,WT,na,70,2.3654133602531,8838
1,Anesth,Multitone,WT,na,80,3.92420639901787,8838
2,Anesth,Multitone,WT,na,10,NaN,11761.3333333333
2,Anesth,Multitone,WT,na,20,4.86321216830254,12130
2,Anesth,Multitone,WT,na,30,3.69390058999358,12130
2,Anesth,Multitone,WT,na,40,2.80327967104716,11678.0909090909
2,Anesth,Multitone,WT,na,50,2.15915771960593,10473
2,Anesth,Multitone,WT,na,60,1.77969841559578,9727.63636363636
2,Anesth,Multitone,WT,na,70,1.57959734022961,9380
2,Anesth,Multitone,WT,na,80,1.41260009876656,9035.45454545455
3,Anesth,Multitone,WT,na,10,NaN,11577
3,Anesth,Multitone,WT,na,20,4.86321216830254,11508.625
3,Anesth,Multitone,WT,na,30,3.51455704669006,11485.6111111111
3,Anesth,Multitone,WT,na,40,2.76690265983992,11209.4444444444
3,Anesth,Multitone,WT,na,50,2.26348191947423,10473
3,Anesth,Multitone,WT,na,60,1.77068158296791,9562.33333333333
3,Anesth,Multitone,WT,na,70,1.58215219926086,9169.22222222222
