experiment,condition,protocol,genotype,pupilSize,freq,level,mag,phi
1,Awake,Multitone,WT,Small,5110,50,1.36772485458878,-0.732575837970967
1,Awake,Multitone,WT,Small,5635,50,1.55647057959169,-0.806429358432936
1,Awake,Multitone,WT,Small,6163,50,1.373811678956,-1.22959639063676
1,Awake,Multitone,WT,Small,6693,50,1.81039519823854,-1.5202089825089
1,Awake,Multitone,WT,Small,7225,50,1.51784391002393,-1.72236475856419
1,Awake,Multitone,WT,Small,7760,50,1.94670692204504,-1.73299061599687
1,Awake,Multitone,WT,Small,8298,50,5.00080641493812,-1.35447313702414
1,Awake,Multitone,WT,Small,8838,50,8.92742785018445,-1.56969635506145
1,Awake,Multitone,WT,Small,9380,50,8.02199536903972,-1.91542792248745
1,Awake,Multitone,WT,Small,9925,50,9.51420122201929,-1.62138451750992
1,Awake,Multitone,WT,Small,10473,50,4.6538929544153,-1.75012879857797
1,Awake,Multitone,WT,Small,11023,50,4.48042282803831,-2.16315153227296
1,Awake,Multitone,WT,Small,11575,50,2.17492024729966,-2.47487642310971
1,Awake,Multitone,WT,Small,12130,50,1.57758394775144,-2.28995842820424
1,Awake,Multitone,WT,Small,12688,50,0.74757169082926,-2.26483223874959
1,Awake,Multitone,WT,Small,13248,50,0.544468883943801,-2.62387449964654
1,Awake,Multitone,WT,Small,13810,50,0.491561567912882,-2.59743531184329
1,Awake,Multitone,WT,Small,14375,50,NaN,NaN
1,Awake,Multitone,WT,Small,4068,60,1.80956504270669,-0.263057563703954
1,Awake,Multitone,WT,Small,4588,60,1.74682779866154,-0.463337421676525
1,Awake,Multitone,WT,Small,5110,60,2.91262586891807,-0.73499931751402
1,Awake,Multitone,WT,Small,5635,60,3.34290473292447,-0.807670851797487
1,Awake,Multitone,WT,Small,6163,60,2.97950037912811,-1.24667661956421
1,Awake,Multitone,WT,Small,6693,60,3.83781719441496,-1.53188976542169
1,Awake,Multitone,WT,Small,7225,60,3.19053867494435,-1.71724449729676
1,Awake,Multitone,WT,Small,7760,60,4.08061720966562,-1.75364806659215
1,Awake,Multitone,WT,Small,8298,60,8.55970245509761,-1.3769885544774
1,Awake,Multitone,WT,Small,8838,60,12.9792561356114,-1.59852723713965
1,Awake,Multitone,WT,Small,9380,60,9.42367652799537,-1.94630792014259
1,Awake,Multitone,WT,Small,9925,60,10.7360973047124,-1.64011762170414
1,Awake,Multitone,WT,Small,10473,60,5.03334183119338,-1.72494906923859
1,Awake,Multitone,WT,Small,11023,60,4.75173187183725,-2.16235397842319
1,Awake,Multitone,WT,Small,11575,60,2.18463434703461,-2.48576458836751
1,Awake,Multitone,WT,Small,12130,60,1.57819849466611,-2.26650428616732
1,Awake,Multitone,WT,Small,12688,60,0.773111851807723,-2.4174557191126
1,Awake,Multitone,WT,Small,13248,60,0.299585286153035,-2.85280045669619
1,Awake,Multitone,WT,Small,13810,60,0.472555548877414,-3.27281515071787
1,Awake,Multitone,WT,Small,14375,60,NaN,NaN
1,Awake,Multitone,WT,Small,4068,70,3.93422339297483,-0.267350389323443
1,Awake,Multitone,WT,Small,4588,70,3.85804741392186,-0.476246327620615
1,Awake,Multitone,WT,Small,5110,70,5.82014577521358,-0.732743720065345
1,Awake,Multitone,WT,Small,5635,70,6.99502397998936,-0.824058806288446
1,Awake,Multitone,WT,Small,6163,70,5.93105235498932,-1.23526903950851
1,Awake,Multitone,WT,Small,6693,70,7.25987843470522,-1.52248964504379
1,Awake,Multitone,WT,Small,7225,70,5.78146719314281,-1.72985401231525
1,Awake,Multitone,WT,Small,7760,70,6.34670667119711,-1.76719666832419
1,Awake,Multitone,WT,Small,8298,70,12.7169621364422,-1.40211154315458
1,Awake,Multitone,WT,Small,8838,70,16.9208397404673,-1.63489279250111
1,Awake,Multitone,WT,Small,9380,70,9.82517523565685,-1.96566238322835
1,Awake,Multitone,WT,Small,9925,70,11.5261450081536,-1.62553268747772
1,Awake,Multitone,WT,Small,10473,70,4.84825046237518,-1.66400076836475
1,Awake,Multitone,WT,Small,11023,70,4.21714363095923,-2.13804187200393
1,Awake,Multitone,WT,Small,11575,70,2.10377791856127,-2.4757257813347
1,Awake,Multitone,WT,Small,12130,70,1.48064146642513,-2.22782003991773
1,Awake,Multitone,WT,Small,12688,70,0.815431175552345,-2.29054041078432
1,Awake,Multitone,WT,Small,13248,70,1.07361750840958,-3.98433267942565
1,Awake,Multitone,WT,Small,13810,70,0.420917912164664,-2.37567272637403
1,Awake,Multitone,WT,Small,14375,70,NaN,NaN
1,Awake,Multitone,WT,Small,4068,80,7.8059727020914,-0.26099031254257
1,Awake,Multitone,WT,Small,4588,80,7.64925056192553,-0.471457043433691
