experiment,condition,protocol,genotype,pupilSize,diameter
1,Anesth,Multitone,WT,Medium,NaN
2,Anesth,Multitone,WT,Medium,NaN
3,Anesth,Multitone,WT,Medium,NaN
4,Anesth,Multitone,WT,Medium,NaN
5,Anesth,Multitone,WT,Medium,NaN
6,Anesth,Multitone,WT,Medium,NaN
1,Anesth,Multitone,WT,Large,NaN
2,Anesth,Multitone,WT,Large,NaN
3,Anesth,Multitone,WT,Large,NaN
4,Anesth,Multitone,WT,Large,NaN
5,Anesth,Multitone,WT,Large,NaN
6,Anesth,Multitone,WT,Large,NaN
7,Anesth,Multitone,Alpha9KO,Small,NaN
8,Anesth,Multitone,Alpha9KO,Small,NaN
9,Anesth,Multitone,Alpha9KO,Small,NaN
10,Anesth,Multitone,Alpha9KO,Small,NaN
11,Anesth,Multitone,Alpha9KO,Small,NaN
12,Anesth,Multitone,Alpha9KO,Small,NaN
7,Anesth,Multitone,Alpha9KO,Medium,NaN
8,Anesth,Multitone,Alpha9KO,Medium,NaN
9,Anesth,Multitone,Alpha9KO,Medium,NaN
10,Anesth,Multitone,Alpha9KO,Medium,NaN
11,Anesth,Multitone,Alpha9KO,Medium,NaN
12,Anesth,Multitone,Alpha9KO,Medium,NaN
7,Anesth,Multitone,Alpha9KO,Large,NaN
8,Anesth,Multitone,Alpha9KO,Large,NaN
9,Anesth,Multitone,Alpha9KO,Large,NaN
10,Anesth,Multitone,Alpha9KO,Large,NaN
11,Anesth,Multitone,Alpha9KO,Large,NaN
12,Anesth,Multitone,Alpha9KO,Large,NaN
1,Anesth,Singletone,WT,Small,NaN
2,Anesth,Singletone,WT,Small,NaN
3,Anesth,Singletone,WT,Small,NaN
4,Anesth,Singletone,WT,Small,NaN
5,Anesth,Singletone,WT,Small,NaN
6,Anesth,Singletone,WT,Small,NaN
1,Anesth,Singletone,WT,Medium,NaN
2,Anesth,Singletone,WT,Medium,NaN
3,Anesth,Singletone,WT,Medium,NaN
4,Anesth,Singletone,WT,Medium,NaN
5,Anesth,Singletone,WT,Medium,NaN
6,Anesth,Singletone,WT,Medium,NaN
1,Anesth,Singletone,WT,Large,NaN
2,Anesth,Singletone,WT,Large,NaN
3,Anesth,Singletone,WT,Large,NaN
4,Anesth,Singletone,WT,Large,NaN
5,Anesth,Singletone,WT,Large,NaN
6,Anesth,Singletone,WT,Large,NaN
7,Anesth,Singletone,Alpha9KO,Small,NaN
8,Anesth,Singletone,Alpha9KO,Small,NaN
9,Anesth,Singletone,Alpha9KO,Small,NaN
10,Anesth,Singletone,Alpha9KO,Small,NaN
11,Anesth,Singletone,Alpha9KO,Small,NaN
12,Anesth,Singletone,Alpha9KO,Small,NaN
7,Anesth,Singletone,Alpha9KO,Medium,NaN
8,Anesth,Singletone,Alpha9KO,Medium,NaN
9,Anesth,Singletone,Alpha9KO,Medium,NaN
10,Anesth,Singletone,Alpha9KO,Medium,0.874905
11,Anesth,Singletone,Alpha9KO,Medium,NaN
12,Anesth,Singletone,Alpha9KO,Medium,NaN
7,Anesth,Singletone,Alpha9KO,Large,NaN
8,Anesth,Singletone,Alpha9KO,Large,NaN
9,Anesth,Singletone,Alpha9KO,Large,NaN
10,Anesth,Singletone,Alpha9KO,Large,NaN
11,Anesth,Singletone,Alpha9KO,Large,NaN
12,Anesth,Singletone,Alpha9KO,Large,NaN
1,Anesth,TM,WT,Small,NaN
2,Anesth,TM,WT,Small,NaN
3,Anesth,TM,WT,Small,NaN
4,Anesth,TM,WT,Small,NaN
5,Anesth,TM,WT,Small,NaN
6,Anesth,TM,WT,Small,NaN
1,Anesth,TM,WT,Medium,NaN
2,Anesth,TM,WT,Medium,NaN
3,Anesth,TM,WT,Medium,NaN
4,Anesth,TM,WT,Medium,NaN
5,Anesth,TM,WT,Medium,NaN
6,Anesth,TM,WT,Medium,NaN
