experiment,condition,protocol,genotype,pupilSize,freq,gain1,gain2
5,Awake,Multitone,WT,na,10473,22.5726607244948,25.5349220559497
5,Awake,Multitone,WT,na,11023,29.1894064835338,26.016935961884
5,Awake,Multitone,WT,na,11575,29.1118975635487,26.7797214046639
5,Awake,Multitone,WT,na,12130,27.7361514485278,25.0548332721331
5,Awake,Multitone,WT,na,12688,32.6187266826034,27.6517199898418
5,Awake,Multitone,WT,na,13248,35.5770251418763,30.6291386583247
5,Awake,Multitone,WT,na,13810,NaN,29.1747485745026
5,Awake,Multitone,WT,na,14375,NaN,NaN
6,Awake,Multitone,WT,na,4068,17.9847760817835,14.8084553191174
6,Awake,Multitone,WT,na,4588,15.575098093726,14.8789646630769
6,Awake,Multitone,WT,na,5110,14.907984969628,15.5461045924961
6,Awake,Multitone,WT,na,5635,12.8896226515418,15.597271529367
6,Awake,Multitone,WT,na,6163,12.1023023412742,15.3328613801751
6,Awake,Multitone,WT,na,6693,10.7580476152323,15.1179740621409
6,Awake,Multitone,WT,na,7225,10.9955662662073,14.7163675914199
6,Awake,Multitone,WT,na,7760,9.72534957369886,15.5985625810453
6,Awake,Multitone,WT,na,8298,7.80493057043177,17.3616983688225
6,Awake,Multitone,WT,na,8838,9.42489603968762,19.100498409186
6,Awake,Multitone,WT,na,9380,11.7801372725002,21.1946158476102
6,Awake,Multitone,WT,na,9925,15.9025656118787,22.7221431751893
6,Awake,Multitone,WT,na,10473,21.1715785680456,24.6951336848307
6,Awake,Multitone,WT,na,11023,26.6039016865354,25.4639778918992
6,Awake,Multitone,WT,na,11575,28.5951974668734,26.5569754344278
6,Awake,Multitone,WT,na,12130,28.6945660732621,25.1102194200243
6,Awake,Multitone,WT,na,12688,32.695515380597,27.704811373844
6,Awake,Multitone,WT,na,13248,36.7762202655092,30.2687159939794
6,Awake,Multitone,WT,na,13810,39.471859259731,30.4889759085592
6,Awake,Multitone,WT,na,14375,NaN,NaN
7,Awake,Multitone,Alpha9KO,na,4068,9.69613004065166,13.9891930456932
7,Awake,Multitone,Alpha9KO,na,4588,14.2294860103828,13.970635872258
7,Awake,Multitone,Alpha9KO,na,5110,11.4756848102438,14.4822393181299
7,Awake,Multitone,Alpha9KO,na,5635,9.45830797218793,14.8064620449505
7,Awake,Multitone,Alpha9KO,na,6163,9.79797200621392,15.1478355723993
7,Awake,Multitone,Alpha9KO,na,6693,8.03597275875378,15.3821524364887
7,Awake,Multitone,Alpha9KO,na,7225,8.99465022693278,16.2261617522848
7,Awake,Multitone,Alpha9KO,na,7760,11.4489150792973,17.4540014488047
7,Awake,Multitone,Alpha9KO,na,8298,12.3731150829119,19.1804313615935
7,Awake,Multitone,Alpha9KO,na,8838,17.5714974675596,22.063072511713
7,Awake,Multitone,Alpha9KO,na,9380,20.6642171571001,24.2734899008676
7,Awake,Multitone,Alpha9KO,na,9925,23.6745151549879,24.3705331969015
7,Awake,Multitone,Alpha9KO,na,10473,29.3246032248069,27.1824831603205
7,Awake,Multitone,Alpha9KO,na,11023,31.4854231382511,26.5120132474751
7,Awake,Multitone,Alpha9KO,na,11575,30.1722237503377,26.8116937256544
7,Awake,Multitone,Alpha9KO,na,12130,28.7152268769238,25.0603185398285
7,Awake,Multitone,Alpha9KO,na,12688,34.0160572858178,28.0469183038082
7,Awake,Multitone,Alpha9KO,na,13248,35.1082870344247,31.2860165813536
7,Awake,Multitone,Alpha9KO,na,13810,36.5394973416259,27.8621007582803
7,Awake,Multitone,Alpha9KO,na,14375,NaN,NaN
8,Awake,Multitone,Alpha9KO,na,4068,14.8033702702017,14.133849812442
8,Awake,Multitone,Alpha9KO,na,4588,15.9806898277574,14.4392463496073
8,Awake,Multitone,Alpha9KO,na,5110,14.8588458688218,15.0718003497912
8,Awake,Multitone,Alpha9KO,na,5635,10.6067283427886,15.1535278975896
8,Awake,Multitone,Alpha9KO,na,6163,11.5079910138298,15.3581446925066
8,Awake,Multitone,Alpha9KO,na,6693,10.9808246290634,15.9307901862329
8,Awake,Multitone,Alpha9KO,na,7225,10.233516979175,16.2539673337288
8,Awake,Multitone,Alpha9KO,na,7760,11.6429398263123,18.0588881033588
8,Awake,Multitone,Alpha9KO,na,8298,11.8801132509568,19.3302243621957
8,Awake,Multitone,Alpha9KO,na,8838,15.3042028178496,21.6085853878051
8,Awake,Multitone,Alpha9KO,na,9380,17.6981504086253,23.044556331195
8,Awake,Multitone,Alpha9KO,na,9925,21.6340561838038,24.3937455060743
8,Awake,Multitone,Alpha9KO,na,10473,29.6879133269279,26.948825933479
8,Awake,Multitone,Alpha9KO,na,11023,36.9470939420624,28.3962199597113
8,Awake,Multitone,Alpha9KO,na,11575,33.1544203195895,27.9276482741016
8,Awake,Multitone,Alpha9KO,na,12130,35.9332884637578,27.5809259692606
8,Awake,Multitone,Alpha9KO,na,12688,34.0235318808015,27.9039558600771
8,Awake,Multitone,Alpha9KO,na,13248,36.2309647654597,31.262431233506
8,Awake,Multitone,Alpha9KO,na,13810,NaN,27.3422266769639
8,Awake,Multitone,Alpha9KO,na,14375,NaN,NaN
9,Awake,Multitone,Alpha9KO,na,4068,23.7823065819795,18.5456431274218
9,Awake,Multitone,Alpha9KO,na,4588,16.202704605185,15.0858900065838
9,Awake,Multitone,Alpha9KO,na,5110,11.1948519594514,14.7208116419917
9,Awake,Multitone,Alpha9KO,na,5635,10.1897536619513,15.0935042885671
9,Awake,Multitone,Alpha9KO,na,6163,11.0806328420552,16.3747166745183
9,Awake,Multitone,Alpha9KO,na,6693,11.9437223191759,17.3048188117015
9,Awake,Multitone,Alpha9KO,na,7225,11.5466084335129,18.7537115759221
9,Awake,Multitone,Alpha9KO,na,7760,9.94532474121884,18.3220320352121
9,Awake,Multitone,Alpha9KO,na,8298,12.8672809610474,20.2269285616678
9,Awake,Multitone,Alpha9KO,na,8838,18.9318928551236,23.7707120901834
