experiment,condition,protocol,genotype,pupilSize,freq,level,mag,phi
1,Awake,Multitone,WT,na,10473,40,4.04083285052512,-1.87920201849271
1,Awake,Multitone,WT,na,11023,40,3.42272930348392,-2.191885571417
1,Awake,Multitone,WT,na,11575,40,1.94574696391948,-2.48882901244626
1,Awake,Multitone,WT,na,12130,40,1.54459512444157,-2.3506938104221
1,Awake,Multitone,WT,na,12688,40,0.716258836306202,-2.35864326614458
1,Awake,Multitone,WT,na,13248,40,0.669536821579847,-2.29572496612085
1,Awake,Multitone,WT,na,13810,40,0.706163869897332,-2.1952712074157
1,Awake,Multitone,WT,na,14375,40,0.586297281748144,-2.55107988547236
1,Awake,Multitone,WT,na,4068,50,1.00835914850385,-0.263013716209052
1,Awake,Multitone,WT,na,4588,50,0.933367440670009,-0.477628808744497
1,Awake,Multitone,WT,na,5110,50,1.50224695772365,-0.732655611954427
1,Awake,Multitone,WT,na,5635,50,1.6985944155389,-0.817282076435654
1,Awake,Multitone,WT,na,6163,50,1.50840770633047,-1.24755137722083
1,Awake,Multitone,WT,na,6693,50,1.90476679401199,-1.53327118253343
1,Awake,Multitone,WT,na,7225,50,1.58395850991429,-1.72990047486739
1,Awake,Multitone,WT,na,7760,50,2.04185922127216,-1.75203900379342
1,Awake,Multitone,WT,na,8298,50,5.19310149832738,-1.4595533329402
1,Awake,Multitone,WT,na,8838,50,9.0949682576173,-1.70137750052881
1,Awake,Multitone,WT,na,9380,50,8.14861793938825,-2.04590527793493
1,Awake,Multitone,WT,na,9925,50,9.49224143407459,-1.75355778336264
1,Awake,Multitone,WT,na,10473,50,4.69541157079693,-1.87853349257669
1,Awake,Multitone,WT,na,11023,50,4.48859565110054,-2.18784604470231
1,Awake,Multitone,WT,na,11575,50,2.16269788549801,-2.48232091235954
1,Awake,Multitone,WT,na,12130,50,1.5936005298475,-2.32297479053463
1,Awake,Multitone,WT,na,12688,50,0.807720507615478,-2.39475093966497
1,Awake,Multitone,WT,na,13248,50,0.630403683541045,-2.45376342097578
1,Awake,Multitone,WT,na,13810,50,0.583597491838106,-2.52687194810456
1,Awake,Multitone,WT,na,14375,50,0.541826271105861,-2.04817336718956
1,Awake,Multitone,WT,na,4068,60,1.90676259484591,-0.266199987830061
1,Awake,Multitone,WT,na,4588,60,1.81884199536651,-0.46737155387977
1,Awake,Multitone,WT,na,5110,60,3.10460709777738,-0.735472956109425
1,Awake,Multitone,WT,na,5635,60,3.71777795728709,-0.816115266722168
