experiment,condition,protocol,genotype,pupilSize,freq,gain1,gain2
5,Awake,Multitone,WT,Small,9380,11.5402191816079,22.3337622039218
5,Awake,Multitone,WT,Small,9925,16.2407716705213,24.2193036042455
5,Awake,Multitone,WT,Small,10473,22.8245548018184,26.1095790959395
5,Awake,Multitone,WT,Small,11023,29.4088948480997,26.5193592555228
5,Awake,Multitone,WT,Small,11575,29.3864787663196,27.3112717135332
5,Awake,Multitone,WT,Small,12130,27.9793583122328,25.6470053406414
5,Awake,Multitone,WT,Small,12688,32.6221605702094,28.5280991759582
5,Awake,Multitone,WT,Small,13248,35.7505810139555,31.8303447428203
5,Awake,Multitone,WT,Small,13810,NaN,NaN
5,Awake,Multitone,WT,Small,14375,NaN,NaN
6,Awake,Multitone,WT,Small,4068,NaN,18.5567465413101
6,Awake,Multitone,WT,Small,4588,22.939807692503,17.3687954821258
6,Awake,Multitone,WT,Small,5110,18.8291571640314,16.7962649791811
6,Awake,Multitone,WT,Small,5635,21.1284071527042,16.7431625340107
6,Awake,Multitone,WT,Small,6163,17.2128248970818,15.2541269635102
6,Awake,Multitone,WT,Small,6693,18.2534496198959,15.1161521598876
6,Awake,Multitone,WT,Small,7225,16.1201618579287,13.9934352665022
6,Awake,Multitone,WT,Small,7760,14.4235564078583,14.9620797515254
6,Awake,Multitone,WT,Small,8298,11.6522726201729,17.2250878718292
6,Awake,Multitone,WT,Small,8838,11.5982869121711,18.7966695482839
6,Awake,Multitone,WT,Small,9380,13.4693338455324,20.4443321878697
6,Awake,Multitone,WT,Small,9925,14.3746246285832,21.3740754056153
6,Awake,Multitone,WT,Small,10473,16.1443364548433,23.8485815242119
6,Awake,Multitone,WT,Small,11023,21.9274574207204,25.0692354335094
6,Awake,Multitone,WT,Small,11575,28.2310023833293,26.7552171460486
6,Awake,Multitone,WT,Small,12130,30.8861120924389,25.9792970528365
6,Awake,Multitone,WT,Small,12688,33.4689178822547,28.2731445115068
6,Awake,Multitone,WT,Small,13248,37.4020335076121,30.7132836780498
6,Awake,Multitone,WT,Small,13810,NaN,30.2180042573296
6,Awake,Multitone,WT,Small,14375,NaN,NaN
1,Awake,Multitone,WT,Medium,4068,16.5725687925995,14.3518239675983
1,Awake,Multitone,WT,Medium,4588,11.4646346933985,13.3449207160478
1,Awake,Multitone,WT,Medium,5110,8.33491399470905,13.2920429651468
1,Awake,Multitone,WT,Medium,5635,7.87764295722006,12.8609649124233
1,Awake,Multitone,WT,Medium,6163,13.6756826684432,13.3847176021928
1,Awake,Multitone,WT,Medium,6693,10.2372150033237,13.4734860918926
1,Awake,Multitone,WT,Medium,7225,16.7913741161125,14.1172502293946
1,Awake,Multitone,WT,Medium,7760,13.8251863646134,15.599456233002
1,Awake,Multitone,WT,Medium,8298,10.705821311857,18.11853248908
1,Awake,Multitone,WT,Medium,8838,12.05210434368,20.2707963971403
1,Awake,Multitone,WT,Medium,9380,18.5132506541593,24.4127640742594
1,Awake,Multitone,WT,Medium,9925,22.4877356021304,24.0901950885157
1,Awake,Multitone,WT,Medium,10473,26.6099856264438,25.3305561972655
1,Awake,Multitone,WT,Medium,11023,28.1254762902303,26.209372339325
1,Awake,Multitone,WT,Medium,11575,31.8924815065366,26.015826553122
1,Awake,Multitone,WT,Medium,12130,35.7423560913173,27.2820371529034
1,Awake,Multitone,WT,Medium,12688,34.1757410624969,27.9092768488483
1,Awake,Multitone,WT,Medium,13248,27.5403747701383,NaN
1,Awake,Multitone,WT,Medium,13810,NaN,NaN
1,Awake,Multitone,WT,Medium,14375,NaN,NaN
2,Awake,Multitone,WT,Medium,4068,15.1383018159713,15.9523508525421
2,Awake,Multitone,WT,Medium,4588,16.6000187127418,16.6811008883356
2,Awake,Multitone,WT,Medium,5110,14.073773066058,15.3261051143275
2,Awake,Multitone,WT,Medium,5635,12.8328008474915,14.788261844252
2,Awake,Multitone,WT,Medium,6163,11.7587341481094,14.1649001299526
2,Awake,Multitone,WT,Medium,6693,9.61669888664266,13.6443495541415
2,Awake,Multitone,WT,Medium,7225,11.6871869554605,14.165526887716
2,Awake,Multitone,WT,Medium,7760,11.5088679959202,15.0143751204718
2,Awake,Multitone,WT,Medium,8298,12.3979754034417,16.5282621504635
2,Awake,Multitone,WT,Medium,8838,10.4168895651245,18.5252867549584
2,Awake,Multitone,WT,Medium,9380,11.5861661877172,20.4862554188645
2,Awake,Multitone,WT,Medium,9925,12.8878821795482,22.0558385648963
2,Awake,Multitone,WT,Medium,10473,17.3744659589706,22.9266392707547
2,Awake,Multitone,WT,Medium,11023,22.669245337934,24.46823430804
2,Awake,Multitone,WT,Medium,11575,29.3041218872647,25.1645685788739
2,Awake,Multitone,WT,Medium,12130,34.855079230577,27.7509223540945
